,,Thermal Generation Actual (in MU),Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Hydro Generation Estimated (in MU)
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Year,Month,,,,,,,,,,,,
2019,3,627.3901290322581,395.70263225888027,610.2986451612902,402.6875949702917,25.360000000000014,24.98707364520002,20.963677419354838,17.4174614958725,53.60600000000002,40.03821999689148,56.992000000000004,50.06122301612426
2019,4,659.7041333333347,435.15157641827625,629.4404666666665,426.35537158530855,24.48600000000003,23.47490643676274,21.184333333333335,17.55201632489416,63.58600000000005,53.502522652687524,73.9492666666667,74.3768043430936
2019,5,668.259870967743,435.38769970215196,636.5242580645162,424.3238292661041,22.80070967741935,21.13807874121277,23.57825806451612,20.494462322954366,83.75800000000002,90.79778747089817,90.83348387096773,87.64717230896757
2019,6,629.4909999999995,408.17835921306,627.9229999999997,409.06549602386207,21.306000000000008,18.620847377253803,26.01206666666667,22.65811564153242,94.52199999999992,104.15093900990186,95.96639999999996,123.19706065786737
2019,7,566.2513548387086,356.3561429956693,563.6359354838708,370.34041190398955,24.249741935483883,22.624976255950433,27.267612903225796,23.718783040874847,105.73000000000013,109.32821762989585,102.0932903225806,126.1878880881301
2019,8,580.2696129032261,365.1528919025347,519.2988387096773,340.7104438645562,26.223999999999997,25.258726294609033,26.852580645161282,23.302787270962398,120.14799999999994,114.22614816186402,128.02838709677417,115.45007251961451
2019,9,619.9774666666668,395.243281963354,523.5646666666667,330.6853617951555,22.19399999999999,19.240060556072642,27.019000000000002,23.990907946427527,104.57000000000006,80.3373308296474,138.35520000000005,102.10099081692918
2019,10,643.8406451612908,419.5632088482755,507.7747741935483,346.14432291668265,22.301999999999982,19.04371015908866,26.894451612903215,23.47666100348692,73.66799999999996,46.876744967001486,97.52219354838712,58.94054188989092
2019,11,608.5303999999996,404.3529377365952,529.534466666667,367.15701208091275,24.226000000000006,24.854305610548657,24.248666666666676,22.06658805246985,54.94200000000001,34.76552874992331,67.51533333333333,48.076673977726735
2019,12,615.2944516129041,399.9958636947532,555.6069032258064,391.8474938192481,25.315483870967714,24.994914968395783,22.934645161290323,20.378575657165793,47.49800000000007,32.28820659211448,57.31516129032256,41.09235743324868
2020,1,629.8156129032268,407.52955338628624,585.2629677419355,398.5423523863942,26.249999999999957,24.412365027456193,21.669806451612903,18.39420424922741,44.96399999999999,31.039835833512857,55.62116129032256,40.7115754296898
2020,2,627.3882068965518,401.3440088881028,616.7436551724136,428.89570205194445,26.479241379310356,25.67927023027304,21.368482758620694,18.411567820977027,47.73600000000009,33.981025616429584,58.69524137931038,44.10234081534358
2020,3,641.4534117647062,418.54515335451515,572.5128235294115,407.8700021178894,26.930588235294117,26.37705881618944,24.07717647058824,20.972479280496817,55.57000000000001,41.8461440733734,58.959882352941165,47.240885477521275
2020,6,670.7683333333334,426.29828867598815,516.4534000000006,343.4585543997643,22.83533333333335,20.930721092657386,24.66613333333333,20.834107482994693,94.6440000000001,105.75348451586981,113.75006666666668,116.3520434115181
2020,7,590.6344516129027,363.95203643098665,552.0631612903223,381.3440142166944,26.21599999999999,24.17918963011025,21.070645161290326,18.46698864760939,105.15400000000007,113.0684907627966,115.60877419354831,121.11313522946647
2020,8,559.4820000000001,389.73470812849087,572.086,445.2607978814214,26.215999999999998,26.945810991692195,17.264000000000003,16.50904994238009,122.79400000000001,128.8822529675828,114.65,136.2331996981646
